zip,member,piece_name,block,record_idx,record_kind,n_points,point_idx,a,b,c,e,x,y,in_real,nearest_perim_units,nearest_perim_in,nearest_perim_mm,nearest_dxf14_in,block_check_line_table
CAP-C40-NOTCH-TYPES\CAP-C40-NOTCH-TYPES.ZIP,a6EAB.tmp,CAP-C40-NOTCH-TYPES,0,5,2,2,1,-1,1,0,0,1118683,525876,1,69284.0,6.9284,175.98,,1
CAP-C40-NOTCH-TYPES\CAP-C40-NOTCH-TYPES.ZIP,a6EAB.tmp,CAP-C40-NOTCH-TYPES,1,5,2,2,0,-1,1,0,0,980114,525876,1,69284.0,6.9284,175.98,,1
CAP-C40-NOTCH-TYPES\CAP-C40-NOTCH-TYPES.ZIP,a6EAB.tmp,CAP-C40-NOTCH-TYPES,1,5,2,2,1,-1,1,0,0,1118683,525876,1,69284.0,6.9284,175.98,,1
CAP-C41-NOTCH-WIDTH\CAP-C41-NOTCH-WIDTH.ZIP,a9175.tmp,CAP-C41-NOTCH-WIDTH,0,5,2,2,0,-1,1,0,0,61127,141864,1,31293.0,3.1293,79.48,,1
CAP-C41-NOTCH-WIDTH\CAP-C41-NOTCH-WIDTH.ZIP,a9175.tmp,CAP-C41-NOTCH-WIDTH,0,5,2,2,1,-1,1,0,0,123713,141864,1,31293.0,3.1293,79.48,,1
CAP-C41-NOTCH-WIDTH\CAP-C41-NOTCH-WIDTH.ZIP,a9175.tmp,CAP-C41-NOTCH-WIDTH,1,5,2,2,0,-1,1,0,0,61127,141864,1,31293.0,3.1293,79.48,,1
CAP-C41-NOTCH-WIDTH\CAP-C41-NOTCH-WIDTH.ZIP,a9175.tmp,CAP-C41-NOTCH-WIDTH,1,5,2,2,1,-1,1,0,0,123713,141864,1,31293.0,3.1293,79.48,,1
CAP-C42-NOTCH-ALLEDGES\CAP-C42-NOTCH-ALLEDGES.ZIP,a6C91.tmp,CAP-C42-NOTCH-ALLEDGES,0,5,2,2,0,-1,1,0,0,64110,136523,1,39638.0,3.9638,100.68,,1
CAP-C42-NOTCH-ALLEDGES\CAP-C42-NOTCH-ALLEDGES.ZIP,a6C91.tmp,CAP-C42-NOTCH-ALLEDGES,0,5,2,2,1,-1,1,0,0,143387,136523,1,39638.0,3.9638,100.68,,1
CAP-C42-NOTCH-ALLEDGES\CAP-C42-NOTCH-ALLEDGES.ZIP,a6C91.tmp,CAP-C42-NOTCH-ALLEDGES,1,5,2,2,0,-1,1,0,0,64110,136523,1,39638.0,3.9638,100.68,,1
CAP-C42-NOTCH-ALLEDGES\CAP-C42-NOTCH-ALLEDGES.ZIP,a6C91.tmp,CAP-C42-NOTCH-ALLEDGES,1,5,2,2,1,-1,1,0,0,143387,136523,1,39638.0,3.9638,100.68,,1
CAP-C50-DRILL1\CAP-C50-DRILL1.zip,aD44A.tmp,CAP-C50-DRILL1,0,5,2,2,0,-1,1,0,0,29581,39343,1,29580.0,2.9580,75.13,,1
CAP-C50-DRILL1\CAP-C50-DRILL1.zip,aD44A.tmp,CAP-C50-DRILL1,0,5,2,2,1,-1,1,0,0,88742,39343,1,29581.0,2.9581,75.14,,1
CAP-C50-DRILL1\CAP-C50-DRILL1.zip,aD44A.tmp,CAP-C50-DRILL1,0,6,2,1,0,-1,1,0,0,82826,16566,1,16565.0,1.6565,42.08,,1
CAP-C50-DRILL1\CAP-C50-DRILL1.zip,aD44A.tmp,CAP-C50-DRILL1,1,5,2,2,0,-1,1,0,0,-43020,52224,1,29580.0,2.9580,75.13,,1
CAP-C50-DRILL1\CAP-C50-DRILL1.zip,aD44A.tmp,CAP-C50-DRILL1,1,5,2,2,1,-1,1,0,0,16141,52224,1,29581.0,2.9581,75.14,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,5,2,2,0,-1,1,0,0,445218,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,5,2,2,1,-1,1,0,0,477636,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,0,-1,1,0,0,468585,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,1,-1,1,0,0,468308,255966,1,14105.0,1.4105,35.83,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,2,-1,1,0,0,467495,257927,1,12144.0,1.2144,30.85,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,3,-1,1,0,0,466203,259611,1,10460.0,1.0460,26.57,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,4,-1,1,0,0,464519,260903,1,9168.0,0.9168,23.29,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,5,-1,1,0,0,462559,261715,1,8356.0,0.8356,21.22,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,6,-1,1,0,0,460454,261992,1,8079.0,0.8079,20.52,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,7,-1,1,0,0,458350,261715,1,8356.0,0.8356,21.22,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,8,-1,1,0,0,456389,260903,1,9168.0,0.9168,23.29,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,9,-1,1,0,0,454705,259611,1,10460.0,1.0460,26.57,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,10,-1,1,0,0,453413,257927,1,12144.0,1.2144,30.85,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,11,-1,1,0,0,452601,255966,1,14105.0,1.4105,35.83,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,12,-1,1,0,0,452324,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,13,-1,1,0,0,452601,251757,1,14104.0,1.4104,35.82,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,14,-1,1,0,0,453413,249797,1,12144.0,1.2144,30.85,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,15,-1,1,0,0,454705,248113,1,10460.0,1.0460,26.57,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,16,-1,1,0,0,456389,246821,1,9168.0,0.9168,23.29,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,17,-1,1,0,0,458350,246008,1,8355.0,0.8355,21.22,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,18,-1,1,0,0,460454,245731,1,8078.0,0.8078,20.52,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,19,-1,1,0,0,462559,246008,1,8355.0,0.8355,21.22,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,20,-1,1,0,0,464519,246821,1,9168.0,0.9168,23.29,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,21,-1,1,0,0,466203,248113,1,10460.0,1.0460,26.57,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,22,-1,1,0,0,467495,249797,1,12144.0,1.2144,30.85,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,23,-1,1,0,0,468308,251757,1,14104.0,1.4104,35.82,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,0,6,2,25,24,-1,1,0,0,468585,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,1,5,2,2,0,-1,1,0,0,445218,253862,1,16209.0,1.6209,41.17,,1
CAP-C60-CUTOUT\CAP-C60-CUTOUT.ZIP,a95D7.tmp,CAP-C60-CUTOUT,1,5,2,2,1,-1,1,0,0,477636,253862,1,16209.0,1.6209,41.17,,1
CAP-C61-MIRROR\CAP-C61-MIRROR.ZIP,a3723.tmp,CAP-C61-MIRROR,0,5,2,2,0,-1,1,0,0,445218,253862,1,16143.0,1.6143,41.00,,1
CAP-C61-MIRROR\CAP-C61-MIRROR.ZIP,a3723.tmp,CAP-C61-MIRROR,0,5,2,2,1,-1,1,0,0,461361,253862,1,0.0,0.0000,0.00,,1
CAP-C62-DART\CAP-C62-DART.ZIP,aE9A.tmp,CAP-C62-DART,0,7,2,2,0,-1,1,0,0,112448,141864,1,36509.0,3.6509,92.73,,1
CAP-C62-DART\CAP-C62-DART.ZIP,aE9A.tmp,CAP-C62-DART,0,7,2,2,1,-1,1,0,0,185466,141864,1,36509.0,3.6509,92.73,,1
CAP-C62-DART\CAP-C62-DART.ZIP,aE9A.tmp,CAP-C62-DART,1,5,2,2,0,-1,1,0,0,112448,141864,1,36509.0,3.6509,92.73,,1
